,model_id,gauge_id,lat_gauge,lon_gauge,min_monthly_obs,obs_after_1980
0,7055126,ethiopia_31013,8.383333333,38.78333333,478,5992
1,9093380,peru_18,-17.856386,-70.121797,1650,10162
2,9069626,peru_25,-11.134581,-77.198167,185,2589
3,9073479,peru_53,-12.031397,-76.624367,218,1818
4,9040511,peru_65,-4.516667,-80.433333,310,4477
5,9044140,peru_111,-5.283333,-79.7,734,4724
6,9051211,peru_116,-6.803592,-79.289322,1801,20603
7,9092380,peru_118,-17.576,-69.6371,113,1704
8,9036028,peru_121,-3.4875,-73.084722,810,10230
9,9053120,peru_126,-7.255014,-76.477886,775,8131
10,9092380,peru_127,-17.579583,-69.626,504,2070
11,9090720,peru_131,-17.059999,-70.892968,339,4359
12,9091000,peru_134,-17.133098,-70.908968,480,6214
13,9040208,peru_137,-4.45,-77.45,988,12436
14,9037650,peru_141,-3.88,-70.446389,223,3015
15,9046936,peru_147,-5.884056,-78.962556,367,366
16,9067260,peru_153,-10.547045,-77.223632,592,7527
17,9085450,peru_168,-15.5,-71.466667,103,1338
18,9042117,peru_181,-4.916667,-80.633333,254,3698
19,9041307,peru_184,-4.683333,-80.516667,202,3189
20,9043566,peru_187,-5.16124,-80.613656,142,2274
21,9070009,peru_214,-11.2,-76.3,209,517
22,9050297,peru_223,-5.216667,-80.016667,293,466
23,9088594,peru_276,-16.283333,-71.616667,1893,7370
24,9049907,peru_281,-6.568647,-76.112086,588,7380
25,9047027,peru_287,-5.95,-79.233333,424,731
26,9043134,peru_302,-5.033333,-80.066667,418,4139
27,9090831,peru_316,-17.12832,-70.836516,120,1707
28,9073056,peru_326,-11.929861,-76.689667,2808,14713
29,9049828,peru_330,-6.559722,-78.741111,1919,9290
30,9091919,peru_332,-17.363889,-69.634861,510,1399
31,9059185,peru_378,-8.65,-78.25,1232,14673
32,9085032,peru_379,-15.25,-71.25,403,4848
33,9078229,peru_392,-13.439417,-75.975139,565,5293
34,9092888,peru_407,-17.6258,-70.4506,111,1691
35,9092888,peru_408,-17.633116,-70.454558,180,2552
36,9047181,peru_426,-5.933333,-78.583333,382,3141
37,9049617,peru_427,-6.470831,-76.378222,1073,9764
38,9050828,peru_442,-6.716667,-76.25,312,3408
39,9086381,peru_444,-15.766667,-71.033333,359,3312
40,9077404,peru_453,-13.183103,-72.533592,990,12731
41,9091959,peru_457,-17.466667,-70.533333,297,1835
42,9039937,peru_460,-4.3,-80.15,1253,14444
43,9037728,peru_480,-3.768747,-80.456639,1609,14602
44,9091196,peru_487,-17.2007,-69.9388,113,1696
45,9048977,peru_515,-6.366667,-78.9,394,1096
46,9089200,peru_537,-16.555833,-72.699167,157,2826
47,9057944,peru_552,-8.383333,-78.666667,951,3725
48,9047521,peru_562,-6.066667,-79.05,479,1096
49,9073056,peru_577,-11.938261,-76.695078,227,3088
50,9081037,peru_617,-14.266667,-73.95,166,1545
51,9087254,peru_621,-15.994722,-72.470278,1537,8578
52,9053140,peru_680,-7.220644,-78.403764,1409,14302
53,9079987,peru_697,-13.966667,-75.683333,271,4745
54,9084208,peru_699,-15.166667,-71.633333,164,460
55,9075483,peru_704,-12.521917,-76.496278,1231,6075
56,9088491,peru_717,-16.416944,-71.733611,298,2102
57,9088491,peru_718,-16.416944,-71.733611,236,1506
58,9075045,peru_722,-12.528056,-74.921111,146,2234
59,9036486,peru_726,-3.566667,-80.216667,128,645
60,9090383,peru_728,-16.987222,-71.635833,399,5225
61,9092888,peru_741,-17.730111,-70.479167,837,4926
62,9041447,peru_748,-4.733333,-80.066667,238,1073
63,9067460,peru_750,-10.607,-73.871,250,3379
64,9067517,peru_763,-10.523503,-76.787606,593,3405
65,9086154,peru_767,-15.7,-70.7,207,1279
66,9085153,peru_776,-15.443861,-70.2095,172,2280
67,9071801,peru_782,-11.683333,-76.8,132,395
68,9047521,peru_785,-6.05,-79,330,1880
69,9046974,peru_786,-5.933333,-79.433333,270,730
70,9068736,peru_789,-10.918041,-77.458884,998,11513
71,9078875,peru_800,-13.640139,-75.719556,2550,14111
72,9087800,peru_817,-16.183333,-72.033333,205,2208
73,9092436,peru_823,-17.616667,-70.7,156,1867
74,9060030,peru_828,-8.85,-77.816667,396,1619
75,9040374,peru_830,-4.433333,-80.283333,943,10693
76,9046145,peru_833,-5.755683,-78.431541,510,6719
77,9047319,peru_848,-5.889817,-78.188783,791,7530
78,9044146,peru_851,-5.316667,-79.883333,480,3790
79,9066465,peru_856,-10.33584,-77.627531,164,4746
80,9073956,peru_863,-12.166667,-76.85,349,1508
81,9047868,peru_874,-6.1,-79.65,533,5907
82,9071640,peru_890,-11.570464,-76.350172,420,5285
83,9088529,peru_900,-16.416667,-71.866667,193,1158
84,9071680,peru_942,-11.452928,-76.622172,1124,10154
85,9041027,peru_1028,-4.621197,-79.951,1665,5588
86,9041447,peru_1033,-4.666667,-80.233333,501,1552
87,9071680,peru_1034,-11.393153,-76.502436,271,267
88,9089572,peru_1053,-16.726,-70.228,207,6289
89,9077919,peru_1062,-13.317648,-71.597327,298,4357
90,9051576,peru_1078,-6.926281,-76.330081,479,6134
91,9068753,peru_1080,-10.921425,-76.736658,181,2384
92,9093559,peru_1083,-17.983333,-70.133333,1060,2747
93,9078090,peru_1098,-13.422501,-71.85451,731,9763
94,9074581,peru_1115,-12.35,-74.65,661,3591
95,9092380,peru_1122,-17.5806,-69.6265,113,1704
96,9049086,peru_1132,-6.373167,-79.466972,2702,13163
97,9073207,peru_1140,-12.047778,-75.241667,229,3404
98,9082005,peru_1143,-14.516667,-75.216667,448,1277
99,9089200,peru_1147,-16.6,-72.733333,479,2100
100,9087808,peru_1149,-16.088247,-69.631617,1691,13198
101,9071152,peru_1153,-11.513056,-75.922778,440,1442
102,9046992,peru_1155,-5.942222,-78.856389,193,2262
103,9085384,peru_1157,-15.450866,-70.191325,844,10791
104,9085450,peru_1158,-15.493917,-71.463194,780,4474
105,9046220,peru_1161,-5.733333,-78.666667,556,6193
106,9053971,peru_1162,-7.463533,-78.113125,366,1671
107,9078565,peru_1164,-13.563078,-72.5753,311,3976
108,9088602,peru_1168,-16.404778,-71.494667,541,6998
109,9064773,peru_1176,-9.966667,-77.866667,120,326
110,9085318,peru_1178,-15.216472,-69.792583,1853,15045
111,9039887,peru_1181,-4.400278,-79.950278,872,8545
112,9085698,peru_1182,-15.471822,-70.224086,144,1877
113,9073056,peru_1188,-11.966667,-76.75,365,2651
114,9071801,peru_1189,-11.694631,-76.837192,1438,6913
115,9085384,peru_1192,-15.433333,-70.133333,875,2915
116,9061218,peru_1193,-9.15,-78.216667,390,3318
117,9088590,peru_1198,-16.421389,-73.115,560,6256
118,9043595,peru_1200,-5.116667,-79.9,450,3779
119,9062586,peru_1206,-9.333333,-78.133333,180,1974
120,9084607,peru_1209,-15.255292,-69.873764,1800,14758
121,9043566,peru_1212,-5.183333,-80.616667,258,4740
122,9090954,peru_1213,-17.029285,-71.69144,1497,13627
123,9072314,peru_1215,-11.8,-75.486667,968,10496
124,9042117,peru_1216,-4.866667,-80.71,1552,5196
125,9036610,peru_1220,-3.583333,-80.466667,999,2922
126,9092552,peru_1223,-17.618,-70.7611,113,1674
127,9062666,peru_1235,-9.384653,-74.967678,467,6255
128,9051441,peru_1248,-6.75,-79.833333,153,2364
129,9047379,peru_1263,-5.95,-79.283333,452,731
